																																																	
																																																	
					7																																												
				7	7	7	7	7	7	7	7										9	9	9					11	11	11																			
					7	7	7	7	7	7													9					11	11	11																			
					7	7	7	7	7	7												9	9					11																					
					7	7	7	7	7	7												9	9					11	11	11								6											
					7	7	7	7	7	7																11	11	11	11	11							6	6	6										
							7	7	7																			11	11	11							6	6											
																												11	11	11							6	6											
																												11	11	11							6	6	6										
								2	2	2	2	2																11	11	11							6		6										
							2	2	2	12	12	2	12				16	16	16									11	11	11								6	6										
							2	12	2	12	12	2	12				16	16	16											11									6										
						2	2	12	2	12	12	2					16	16	16											11																			
							2	2	2	2	2	2					16	16	16																														
							2	2																		20																							
																										20																							
																								20	20	20	20	20																					
																										20																							
																										20																							
																																																	
																																																	
					4	4	4	4														8	8						14	14	14	14					19												
						4	4	4														8	8					14	14		14					19	19	19											
					1	1	4															8	8	8				14		14	14	14					19												
			1	1	1	1	4														8	8	8	8					14		14																		
					1	1															8		8	8					14	14	14	14																	
																					8		8						14		14																		
																				8	8	8	8																										
																					8	8																											
																					8	8	8																										
					18						10										8																												
					18						10	10									8																												
					18						10	10																																					
					18					10	10	10	10							13																													
					18						10									13																													
					18					10	10			13	13	13	13	13	13	13	13	13				15	15												17										
					18													13	13	13	13	13				15	15	15	15								17	17	17										
					18											13	13	13	13	13	13	13				15	15										17		17	17									
					18															13	13					15	15	15	15							17	17		17	17									
																				13	13					15	15										17	17		17	17								
																					13					15	15	15	15																				
																					13																3	3	3	3	3								
																																					3	3	3	3	3	3							
																																									3		3						
																																									3	3	3						
																																																	
																																																	
																																																	
